metric,value
linear_mesh_motion_x_iterations,0
linear_mesh_motion_x_maxiter,500
linear_mesh_motion_x_saturated,0
linear_mesh_motion_y_iterations,10
linear_mesh_motion_y_maxiter,500
linear_mesh_motion_y_saturated,0
linear_penalty_iterations,3
linear_penalty_maxiter,500
linear_penalty_saturated,0
linear_pressure_poisson_iterations,4
linear_pressure_poisson_maxiter,100
linear_pressure_poisson_residual_norm,2.2862116937908286e-05
linear_pressure_poisson_residual_ratio,0.43419381183802241
linear_pressure_poisson_saturated,0
linear_pressure_poisson_tolerance,5.2654174966540247e-05
linear_viscous_iterations,2
linear_viscous_maxiter,500
linear_viscous_saturated,0
