metric,value
blew_up,false
converged,false
crest_eta,0.39231329394416425
divergence_l2,0.00093509089494101785
divergence_linf,0.004549455528300772
divergence_mean_abs,0.00011889189962259517
domain_surface_volume_mismatch,-5.2893901703043866e-08
domain_volume,6.2831852542855975
domain_volume_drift,-5.3910961028691418e-08
domain_volume_initial,6.2831853081965585
dt,0.019781359483314141
eta_integral,-8.737157420009316e-14
eta_integral_drift,-8.745894527430618e-14
eta_integral_initial,8.7371074213019893e-17
eta_mean,-1.3905617919665137e-14
final_t,0.11808815689988486
final_time,0.11808815689988486
fourier_high_mode_start,10
fourier_high_mode_tail,2.0104209170090961e-06
fourier_high_mode_tail_ratio,3.2712530752751808e-05
fourier_mode1_amp,0.22913606762252545
fourier_mode1_amp_exact,0.22913805215362168
fourier_mode1_amp_ratio,0.99999133914652072
free_surface_c0_project_eta,true
free_surface_c0_project_velocity,false
free_surface_policy,true
free_surface_raw_velocity_trace,true
kinetic_energy,0.10576242569947242
kinetic_energy_drift,3.4209998532874764e-06
kinetic_energy_initial,0.10575900469961913
l2_eta_pct,0.3756175035514332
linear_mesh_motion_x_iterations,0
linear_mesh_motion_x_maxiter,500
linear_mesh_motion_x_saturated,0
linear_mesh_motion_y_iterations,10
linear_mesh_motion_y_maxiter,500
linear_mesh_motion_y_saturated,0
linear_penalty_iterations,3
linear_penalty_maxiter,500
linear_penalty_saturated,0
linear_pressure_poisson_iterations,4
linear_pressure_poisson_maxiter,100
linear_pressure_poisson_residual_norm,2.2862116937908286e-05
linear_pressure_poisson_residual_ratio,0.43419381183802241
linear_pressure_poisson_saturated,0
linear_pressure_poisson_tolerance,5.2654174966540247e-05
linear_viscous_iterations,2
linear_viscous_maxiter,500
linear_viscous_saturated,0
max_eta,0.39231329394416425
max_vel,0.58852040363006664
n_dofs,1000
period,6.61880400403283
phase_aligned_l2_eta_pct,0.37451842830549603
phase_shift,-0.00034858170913620867
phase_shift_degrees,-0.019972260748961607
phase_shift_waves,-5.5478502080448905e-05
phase_speed,0.94929315074917586
potential_energy,0.096535910738280231
potential_energy_drift,-6.6087477580689669e-06
potential_energy_initial,0.0965425194860383
snapshot_count,1
steady_rel,0.026779563745491192
steps,29
surface_base_volume,6.2831853071795862
surface_eta_l2,0.0026824479190345118
surface_eta_l2_pct,0.95435683644048919
surface_eta_l2_rel,0.0061045967144328526
surface_length,6.2831853071795862
surface_volume,6.2831853071794992
surface_volume_drift,-8.7041485130612273e-14
surface_volume_initial,6.2831853071795862
total_energy,0.20229833643775263
total_energy_drift,-3.1877479048092461e-06
total_energy_initial,0.20230152418565744
total_energy_relative_drift,-1.5757409231794842e-05
trough_eta,-0.16848359308090791
velocity_norm,5.5704268670366499
wave_height,0.56079688702507213
wave_height_error,-0.0013509001777455287
wavelength,6.2831853071795862
